Gazepoint Analysis,v6.0.0
Processed on,Mon Feb 17 16:11:48 2020

Note: -1 values indicate an AOI that was never viewed
AOI Summary
Media ID, Media Name, Media Duration (sec - U=UserControlled), AOI ID, AOI Name, AOI Start (sec), AOI Duration (sec - U=UserControlled), Viewers (#), Total Viewers (#), Ave Time to 1st View (sec), Ave Time Viewed (sec), Ave Time Viewed (%), Ave Fixations (#), Revisitors (#), Average Revisits (#), 
0, NewMedia0, U, 1, Map1, 0.000, U, 1, user2, M, 0, 2.087, 101.615, 10.321, 277.000, 111, 
0, NewMedia0, U, 1, Map1, 0.000, U, 2, user3, M, 0, 1.265, 157.681, 16.015, 319.000, 66, 
0, NewMedia0, U, 1, Map1, 0.000, U, 3, user4, M, 0, 0.099, 85.471, 8.681, 262.000, 137, 
0, NewMedia0, U, 1, Map1, 0.000, U, 4, user5, M, 0, 5.241, 0.906, 0.092, 7.000, 5, 
0, NewMedia0, U, 1, Map1, 0.000, U, 5, user6, M, 0, 1.789, 5.211, 0.529, 26.000, 20, 
0, NewMedia0, U, 1, Map1, 0.000, U, 6, user7, M, 0, 566.398, 0.297, 0.030, 4.000, 1, 
0, NewMedia0, U, 1, Map1, 0.000, U, 7, user8, M, 0, 1.594, 95.869, 9.737, 265.000, 138, 
0, NewMedia0, U, 1, Map1, 0.000, U, 8, user9, M, 0, 0.328, 26.424, 2.684, 137.000, 102, 
0, NewMedia0, U, 1, Map1, 0.000, U, 9, user10, M, 0, 3.154, 69.555, 7.064, 189.000, 92, 
0, NewMedia0, U, 1, Map1, 0.000, U, 10, user11, M, 0, 0.526, 57.118, 5.801, 197.000, 117, 
0, NewMedia0, U, 1, Map1, 0.000, U, 11, user12, M, 0, 4.704, 66.663, 6.771, 164.000, 79, 
0, NewMedia0, U, 1, Map1, 0.000, U, 12, user13, M, 0, 0.921, 57.421, 5.832, 151.000, 80, 
0, NewMedia0, U, 1, Map1, 0.000, U, 13, user14, M, 0, 0.078, 29.625, 3.009, 109.000, 71, 
0, NewMedia0, U, 1, Map1, 0.000, U, 14, user15, M, 0, 4.164, 83.031, 8.433, 239.000, 130, 
0, NewMedia0, U, 1, Map1, 0.000, U, 15, user16, M, 0, 3.086, 98.234, 9.977, 294.000, 119, 
0, NewMedia0, U, 1, Map1, 0.000, U, 16, user17, M, 0, 0.000, 54.367, 5.522, 170.000, 83, 
0, NewMedia0, U, 1, Map1, 0.000, U, 17, user18, M, 0, 2.445, 88.547, 8.993, 189.000, 94, 
0, NewMedia0, U, 1, Map1, 0.000, U, 18, user19, M, 0, 1.266, 39.664, 4.029, 129.000, 68, 
0, NewMedia0, U, 1, Map1, 0.000, U, 19, user20, M, 0, 1.266, 34.297, 3.483, 165.000, 120, 
0, NewMedia0, U, 1, Map1, 0.000, U, 20, user21, M, 0, 2.281, 60.094, 6.104, 219.000, 106, 
