MEDIA_ID,MEDIA_NAME,CNT,TIME(2019/12/02 16:56:49.941),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,DIAL,DIALV,GSR,GSRV,HR,HRV,TTL0,TTL1,TTLV,PIXS,PIXV,AOI,SACCADE_MAG,SACCADE_DIR,
0,NewMedia0,220,3.61940,10313016845797,-0.04131,0.18290,3.31975,0.29964,2,1,0.09664,0.42704,1,0.01953,0.07014,0,,0.15659,0.53804,9.37464,0.48572,1,0.50900,0.44556,6.53280,0.46191,0,0,0.00000,9,2.83154,1,2.18034,0,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,,0.00000,0.00000,
0,NewMedia0,277,4.55174,10313026169374,0.15224,0.44201,3.68005,0.87168,3,1,0.07162,0.52959,1,0.01914,0.07014,0,,0.14719,0.53502,9.38013,0.49138,1,0.50306,0.44042,7.39221,0.48512,1,0,0.00000,9,3.08240,1,2.34817,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,Task,620.26257,323.01907,
0,NewMedia0,299,4.91254,10313029777304,0.13826,0.48309,4.66681,0.24573,4,1,0.15722,0.49313,0,0.01836,0.08264,0,,0.14881,0.53446,6.79301,0.46191,0,0.50136,0.43994,5.64730,0.46191,0,25,0.00000,9,2.15630,0,2.46734,0,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,Task,69.13880,238.82617,
0,NewMedia0,328,5.38908,10313034542695,0.23278,0.45463,5.17696,0.21213,5,1,0.21043,0.41217,0,0.05039,0.13403,0,,0.14881,0.53446,6.79301,0.56650,0,0.13693,0.54102,8.77418,0.57059,1,0,0.00000,10,2.15630,0,2.45695,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,,245.41724,9.61290,
0,NewMedia0,342,5.62025,10313036854429,0.18160,0.30456,5.40558,0.21468,6,1,0.06910,0.21799,1,0.05508,0.13681,0,,0.14881,0.53446,6.79301,0.69286,0,0.13319,0.54119,7.67423,0.69286,1,0,0.00000,10,2.15630,0,2.35828,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,,252.71722,121.22823,
0,NewMedia0,365,5.99615,10313040613471,0.18182,0.39148,5.63490,0.36125,7,1,0.22899,0.44233,1,0.06289,0.13750,0,,0.14881,0.53446,6.79301,0.53889,0,0.13796,0.54062,8.39671,0.53889,1,0,0.00000,10,2.15630,0,2.32940,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,,125.16606,270.25781,
0,NewMedia0,410,6.73546,10313048006424,0.13542,0.46954,6.45821,0.27725,8,1,0.02663,0.53711,1,0.06523,0.16319,0,,0.14881,0.53446,6.79301,0.51053,0,0.48837,0.43543,5.47747,0.51053,1,0,0.00000,11,2.15630,0,1.84653,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,Task,163.53851,223.41982,
0,NewMedia0,433,7.11484,10313051800289,0.04375,0.43274,6.94951,0.16533,9,1,0.02655,0.41127,0,0.04648,0.15069,0,,0.14881,0.53446,6.79301,0.57059,0,0.49783,0.43135,7.52608,0.57059,0,0,0.00000,12,2.15630,0,2.53942,0,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,Task,240.58383,167.27545,
0,NewMedia0,461,7.57741,10313056426043,0.15227,0.37424,7.32777,0.24963,10,1,0.12070,0.49686,0,0.06836,0.15347,0,,0.14444,0.53443,8.31454,0.53889,0,0.49709,0.43018,6.58097,0.53889,0,0,0.00000,11,2.14533,0,2.01669,0,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,Task,290.30234,16.86874,
0,NewMedia0,501,8.23259,10313062977836,0.25368,0.41943,7.93562,0.29697,11,1,0.38314,0.31374,1,0.08555,0.16111,0,,0.14444,0.53443,8.31454,0.53889,0,0.54783,0.43291,12.57732,0.53889,1,0,0.00000,11,2.14533,0,3.57219,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,Map1,267.64096,345.92822,
