MEDIA_ID,MEDIA_NAME,CNT,TIME(2019/12/13 10:16:04.869),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,DIAL,DIALV,GSR,GSRV,HR,HRV,TTL0,TTL1,TTLV,PIXS,PIXV,AOI,SACCADE_MAG,SACCADE_DIR,
0,NewMedia0,24,0.39844,19576772368227,0.48813,0.15454,0.07031,0.32813,2,1,0.58226,0.08207,1,1.33320,0.11458,0,,0.33917,0.60319,10.78808,1.09188,1,0.62805,0.60918,10.53679,1.07915,1,0,0.00000,7,3.47588,1,3.49572,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,Map2,0.00000,0.00000,
0,NewMedia0,33,0.54688,19576773834723,0.57871,0.14487,0.41406,0.13281,3,1,0.55784,0.08658,0,1.26250,0.21250,0,,0.33870,0.60367,11.03058,1.07961,0,0.62823,0.60824,10.60950,1.07961,0,2626,0.00000,7,3.52208,0,3.55980,0,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,Map2,232.30260,3.43651,
0,NewMedia0,65,1.07031,19576779089475,0.58100,0.17332,0.80469,0.26563,4,1,0.59045,0.20486,1,0.70430,0.17083,0,,0.34239,0.60249,11.87684,1.02779,1,0.63279,0.61088,12.25068,1.02779,1,0,0.00000,8,3.72711,1,3.75200,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,Map2,41.38529,278.14328,
0,NewMedia0,83,1.36719,19576782060925,0.61730,0.17908,1.10156,0.26563,5,1,0.69933,0.17831,1,0.69023,0.17083,0,,0.34940,0.59916,12.99063,0.99832,1,0.64027,0.60834,13.64584,0.99832,1,0,0.00000,8,4.21053,1,4.29650,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,Map2,93.29753,354.89954,
0,NewMedia0,112,1.84375,19576786811958,0.66506,0.12430,1.38281,0.46094,6,1,0.56820,0.26657,1,0.16328,0.00903,0,,0.36941,0.60605,12.52199,0.98537,1,0.65901,0.62201,12.49205,0.98537,1,0,0.00000,8,3.66143,1,3.95381,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,Histogram,145.50407,32.82925,
0,NewMedia0,128,2.10938,19576789437474,0.53749,0.20466,1.85938,0.25000,7,1,0.37561,0.11154,1,0.00000,0.00139,0,,0.36287,0.60644,12.67834,1.03014,1,0.65359,0.62076,12.70390,1.04075,1,0,0.00000,8,4.06026,1,4.69637,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,Map2,346.47473,199.51100,
0,NewMedia0,155,2.54688,19576793874203,0.05162,0.04287,2.17188,0.37500,8,1,0.03439,0.07082,1,0.13945,0.08403,0,,0.35577,0.60182,13.54343,0.94219,1,0.64378,0.61137,13.73575,0.94219,1,0,0.00000,8,4.52102,1,4.98612,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,Task,1265.45825,169.39102,
0,NewMedia0,177,2.91406,19576797487862,0.10475,0.03648,2.57031,0.34375,9,1,0.47793,0.08110,1,0.13789,0.08403,0,,0.35804,0.59098,13.57964,0.97438,1,0.64668,0.60186,14.32287,0.98499,1,0,0.00000,7,4.59482,1,4.50082,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,Task,136.32370,3.87030,
0,NewMedia0,197,3.24219,19576800772649,0.49284,0.05953,2.97656,0.26563,10,1,0.45155,0.06633,1,0.17148,0.05625,0,,0.35429,0.59480,13.00231,0.95298,1,0.64304,0.60687,13.79130,0.96359,1,0,0.00000,7,4.33753,1,4.21585,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,,994.06470,358.08652,
0,NewMedia0,216,3.55469,19576803900747,0.17113,0.07238,3.30469,0.25000,11,1,0.52173,0.50803,1,0.17539,0.05278,0,,0.35686,0.61277,10.26471,0.99426,1,0.64472,0.62468,10.88777,0.97468,1,0,0.00000,7,3.67456,1,3.88450,1,0.00000,0,0.00000,0,0.00000,0,2147483647,2147483647,0,0.00000,0,,823.78546,181.28708,
